(0,1, w:2, l:1, u:5, f:1)
(0,2, w:0, l:3, u:4, f:1)
(0,3, w:0, l:0, u:2, f:1)
(0,4, w:1, l:3, u:5, f:1)
(1,0, w:3, l:1, u:5, f:0)
(1,5, w:0, l:0, u:1, f:1)
(1,6, w:0, l:0, u:1, f:1)
(1,7, w:0, l:0, u:1, f:1)
(2,0, w:4, l:3, u:4, f:0)
(2,5, w:0, l:0, u:1, f:1)
(2,6, w:0, l:0, u:1, f:1)
(2,7, w:0, l:0, u:1, f:1)
(2,8, w:0, l:0, u:1, f:1)
(2,9, w:1, l:0, u:1, f:1)
(3,0, w:2, l:0, u:2, f:0)
(3,6, w:0, l:0, u:1, f:1)
(3,9, w:0, l:0, u:1, f:1)
(4,0, w:4, l:3, u:5, f:0)
(4,5, w:0, l:0, u:1, f:1)
(4,7, w:0, l:0, u:1, f:1)
(4,8, w:0, l:0, u:1, f:1)
(4,9, w:0, l:0, u:1, f:1)
(5,1, w:1, l:0, u:1, f:0)
(5,2, w:1, l:0, u:1, f:0)
(5,4, w:1, l:0, u:1, f:0)
(5,10, w:1, l:1, u:4, f:1)
(6,1, w:1, l:0, u:1, f:0)
(6,2, w:1, l:0, u:1, f:0)
(6,3, w:1, l:0, u:1, f:0)
(6,10, w:1, l:2, u:4, f:1)
(7,1, w:1, l:0, u:1, f:0)
(7,2, w:1, l:0, u:1, f:0)
(7,4, w:1, l:0, u:1, f:0)
(7,10, w:1, l:1, u:4, f:1)
(8,2, w:1, l:0, u:1, f:0)
(8,4, w:1, l:0, u:1, f:0)
(8,10, w:2, l:1, u:4, f:1)
(9,2, w:0, l:0, u:1, f:0)
(9,3, w:1, l:0, u:1, f:0)
(9,4, w:1, l:0, u:1, f:0)
(9,10, w:2, l:2, u:4, f:1)
(10,5, w:3, l:1, u:4, f:0)
(10,6, w:3, l:2, u:4, f:0)
(10,7, w:3, l:1, u:4, f:0)
(10,8, w:2, l:1, u:4, f:0)
(10,9, w:2, l:2, u:4, f:0)
